0.00	0.1293650	-0.030650
0.05	0.1279000	-0.026730
0.10	0.1266920	-0.020380
0.15	0.1258620	-0.011720
0.20	0.1255200	-0.001030
0.25	0.1257590	0.011230
0.30	0.1266430	0.024460
0.35	0.1282050	0.037950
0.40	0.1304380	0.050910
0.45	0.1332960	0.062588
0.50	0.1366968	0.072254
0.55	0.1405214	0.079282
0.60	0.1446250	0.083226
0.65	0.1488440	0.083819
0.70	0.1530069	0.081020
0.75	0.1569460	0.075001
0.80	0.1605070	0.066180
0.85	0.1635640	0.055170
0.90	0.1660240	0.042710
0.95	0.1678350	0.029660
1.00	0.1689900	0.016930
1.05	0.1695280	0.005380
1.10	0.1695280	-0.004220
1.15	0.1691060	-0.011250
1.20	0.1684030	-0.015320
1.25	0.1675740	-0.016290
1.30	0.1667740	-0.014280
1.35	0.1661460	-0.009690
1.40	0.1658050	-0.003190
1.45	0.1658270	0.004350
1.50	0.1662400	0.011930
1.55	0.1670200	0.018430
1.60	0.1680830	0.022720
1.65	0.1692920	0.023760
1.70	0.1704590	0.020700
1.75	0.1713620	0.012920
1.80	0.1717510	0.000080
1.85	0.1713700	-0.017790
1.90	0.1699720	-0.040310
1.95	0.1673390	-0.066680
2.00	0.1633040	-0.095770
2.05	0.1577620	-0.126207
2.10	0.1506833	-0.156326
2.15	0.1421294	-0.184323
2.20	0.1322510	-0.208384
2.25	0.1212910	-0.226740
2.30	0.1095770	-0.237790
2.35	0.0975120	-0.240210
2.40	0.0855560	-0.233040
2.45	0.0742080	-0.215720
2.50	0.0639840	-0.188170
2.55	0.0553910	-0.150840
2.60	0.0489000	-0.104610
2.65	0.0449300	-0.050900
2.70	0.0438100	0.008510
2.75	0.0457810	0.071590
2.80	0.0509690	0.135940
2.85	0.0593750	0.199090
2.90	0.0708780	0.258560
2.95	0.0852310	0.311970
3.00	0.1020750	0.357140
3.05	0.1209450	0.392167
3.10	0.1412917	0.415570
3.15	0.1625020	0.426293
3.20	0.1839210	0.423750
3.25	0.2048770	0.407860
3.30	0.2247070	0.379050
3.35	0.2427820	0.338230
3.40	0.2585300	0.286680
3.45	0.2714500	0.226000
3.50	0.2811300	0.158400
3.55	0.2872900	0.085800
3.60	0.2897100	0.010500
3.65	0.2883400	-0.065000
3.70	0.2832100	-0.138500
3.75	0.2744900	-0.207900
3.80	0.2624200	-0.271300
3.85	0.2473600	-0.326820
3.90	0.2297380	-0.373080
3.95	0.2100520	-0.408960
4.00	0.1888420	-0.433710
4.05	0.1666810	-0.446862
4.10	0.1441558	-0.448330
4.15	0.1218480	-0.438348
4.20	0.1003210	-0.417430
4.25	0.0801050	-0.386360
4.30	0.0616850	-0.346250
4.35	0.0454800	-0.298250
4.40	0.0318600	-0.243700
4.45	0.0211100	-0.184400
4.50	0.0134200	-0.121800
4.55	0.0089300	-0.057500
4.60	0.0076700	0.006700
4.65	0.0096000	0.069400
4.70	0.0146100	0.129000
4.75	0.0225000	0.184000
4.80	0.0330100	0.233240
4.85	0.0458240	0.275740
4.90	0.0605840	0.310580
4.95	0.0768820	0.337090
5.00	0.0942930	0.354900
5.05	0.1123720	0.363840
5.10	0.1306770	0.364002
5.15	0.1487722	0.355680
5.20	0.1662450	0.339418
5.25	0.1827140	0.315920
5.30	0.1978370	0.286040
5.35	0.2113180	0.250790
5.40	0.2229160	0.211300
5.45	0.2324480	0.168730
5.50	0.2397890	0.124230
5.55	0.2448710	0.079010
5.60	0.2476900	0.034090
5.65	0.2482800	-0.009400
5.70	0.2467500	-0.050490
5.75	0.2432310	-0.088490
5.80	0.2379010	-0.122660
5.85	0.2309650	-0.152490
5.90	0.2226520	-0.177600
5.95	0.2132050	-0.197770
6.00	0.2028750	-0.212900
6.05	0.1919150	-0.223020
6.10	0.1805730	-0.228250
6.15	0.1690900	-0.228830
6.20	0.1576900	-0.225064
6.25	0.1465836	-0.217297
6.30	0.1359603	-0.205946
6.35	0.1259890	-0.191443
6.40	0.1168160	-0.174240
6.45	0.1085650	-0.154800
6.50	0.1013360	-0.133580
6.55	0.0952070	-0.111050
6.60	0.0902310	-0.087670
6.65	0.0864400	-0.063850
6.70	0.0838460	-0.040020
6.75	0.0824380	-0.016600
6.80	0.0821860	0.006030
6.85	0.0830410	0.027530
6.90	0.0849390	0.047560
6.95	0.0877970	0.065830
7.00	0.0915220	0.082100
7.05	0.0960070	0.096150
7.10	0.1011370	0.107810
7.15	0.1067880	0.116980
7.20	0.1128350	0.123630
7.25	0.1191510	0.127730
7.30	0.1256080	0.129350
7.35	0.1320860	0.128612
7.40	0.1384692	0.125651
7.45	0.1446511	0.120670
7.50	0.1505362	0.113899
7.55	0.1560410	0.105578
7.60	0.1610940	0.095990
7.65	0.1656400	0.085390
7.70	0.1696330	0.074050
7.75	0.1730450	0.062240
7.80	0.1758570	0.050180
7.85	0.1780630	0.038080
7.90	0.1796650	0.026150
7.95	0.1806780	0.014550
8.00	0.1811200	0.003410
8.05	0.1810190	-0.007150
8.10	0.1804050	-0.017030
8.15	0.1793160	-0.026150
8.20	0.1777900	-0.034470
8.25	0.1758690	-0.041940
8.30	0.1735960	-0.048490
8.35	0.1710200	-0.054100
8.40	0.1681860	-0.058760
8.45	0.1651440	-0.062410
8.50	0.1619450	-0.065050
8.55	0.1586390	-0.066670
8.60	0.1552780	-0.067268
8.65	0.1519122	-0.066862
8.70	0.1485918	-0.065473
8.75	0.1453649	-0.063146
8.80	0.1422772	-0.059943
8.85	0.1393706	-0.055945
8.90	0.1366827	-0.051246
8.95	0.1342460	-0.045967
